traj_side_20_x,traj_side_40_x,traj_side_60_x,traj_side_20_y,traj_side_40_y,traj_side_60_y,traj_dir_20_x,traj_dir_40_x,traj_dir_60_x,traj_dir_20_y,traj_dir_40_y,traj_dir_60_y,loc_pos_feet_right_x,loc_pos_feet_right_z,loc_pos_feet_right_y,loc_pos_feet_left_x,loc_pos_feet_left_z,loc_pos_feet_left_y,loc_vel_feet_right_x,loc_vel_feet_right_z,loc_vel_feet_right_y,loc_vel_feet_left_x,loc_vel_feet_left_z,loc_vel_feet_left_y,loc_vel_pelvis_x,loc_vel_pelvis_z,loc_vel_pelvis_y
0.239121,0.682694,0.747961,5.252784,8.951273,10.11391,0.001069,-0.016249,-0.014076,0.999999,0.999868,0.999901,-6.078891,17.894478,8.986606,12.322564,22.141838,-6.517608,-0.014487,0.056038,-0.114432,-0.035699,0.200202,0.700943,-0.045966,0.079862,0.320334
0.188326,0.606387,0.667411,5.256748,8.955694,10.122205,0.001048,-0.016513,-0.014627,0.999999,0.999864,0.999893,-6.013628,18.091179,8.606163,12.417236,22.374748,-6.70401,-0.014585,0.058458,-0.116563,-0.038886,0.202417,0.699799,-0.048346,0.082299,0.321713
0.017373,-0.000392,-0.736148,13.654622,44.551792,97.988403,0.001014,-0.01679,-0.015187,0.999999,0.999859,0.999885,-5.972312,9.91124,8.30974,12.487597,14.214027,-6.86112,-0.014628,0.060429,-0.11833,-0.041298,0.203535,0.698689,-0.050423,0.083825,0.32302
-0.256719,-0.213827,-1.040859,16.348904,51.497242,110.593552,0.008644,-0.012288,-0.015957,0.999963,0.999924,0.999873,-5.497382,14.216072,6.68313,12.648599,18.741325,-7.183636,-0.028602,0.058079,-0.149943,0.00575,0.262061,0.838231,-0.057606,0.135529,0.406637
-0.2062,-0.170633,-1.017285,17.31167,53.493847,113.362434,0.008969,-0.012939,-0.016709,0.99996,0.999916,0.99986,-4.856319,16.056129,5.845636,12.628637,20.501488,-7.589178,-0.015173,0.051506,-0.136704,0.041885,0.28405,0.934162,-0.045694,0.157407,0.44981
-0.194693,-0.149498,-1.028549,17.675798,54.187794,114.208237,0.009854,-0.013353,-0.017533,0.999951,0.999911,0.999846,-4.387993,17.158707,5.276766,12.628582,21.666092,-7.875316,-0.014679,0.052404,-0.129566,0.047461,0.295006,0.980279,-0.043302,0.167365,0.468427
-0.202085,-0.169729,-1.090575,17.811087,54.434998,114.498978,0.010196,-0.013882,-0.018404,0.999948,0.999904,0.999831,-4.082538,17.826286,4.894015,12.646441,22.432617,-8.06043,-0.015025,0.053667,-0.126215,0.048734,0.300141,0.999093,-0.042314,0.172651,0.475531
-0.218392,-0.210348,-1.177994,17.859053,54.515724,114.593216,0.010189,-0.014506,-0.019298,0.999948,0.999895,0.999814,-3.892435,18.23571,4.63573,12.670151,22.933113,-8.178899,-0.015446,0.054911,-0.124657,0.048532,0.302457,1.006102,-0.042038,0.175444,0.478194
-0.237824,-0.259247,-1.276075,17.871862,54.530144,114.609802,0.009998,-0.015184,-0.020202,0.99995,0.999885,0.999796,-3.776812,18.490639,4.460394,12.691867,23.258064,-8.255888,-0.015752,0.055996,-0.123912,0.047765,0.303148,1.008089,-0.042089,0.176875,0.479074
-0.257566,-0.31036,-1.377326,17.871042,54.519257,114.596474,0.009718,-0.015887,-0.021107,0.999953,0.999874,0.999777,-3.707455,18.651794,4.341454,12.708267,23.467934,-8.307155,-0.015913,0.056896,-0.123548,0.046843,0.302974,1.008038,-0.04227,0.177549,0.479265
-0.310469,-0.332993,-1.464871,18.38567,55.573036,115.780159,0.013761,-0.015123,-0.022199,0.999905,0.999886,0.999754,-3.689753,18.745178,3.084095,12.851652,23.700508,-8.41328,-0.00686,0.059137,-0.13692,0.022341,0.334053,1.104308,-0.036867,0.227916,0.493757
-0.29153,-0.322666,-1.508577,18.544058,55.88401,116.155151,0.013105,-0.016411,-0.023342,0.999914,0.999865,0.999728,-3.592709,18.865944,2.205865,12.940628,23.967598,-8.484256,-0.00523,0.064689,-0.135164,0.024446,0.344892,1.131835,-0.031913,0.245252,0.50091
-0.28759,-0.341453,-1.58694,18.57445,55.948399,116.237877,0.012345,-0.017592,-0.024491,0.999924,0.999845,0.9997,-3.513039,10.631645,1.632457,12.99829,15.855293,-8.503357,-0.005304,0.067842,-0.134734,0.025416,0.347246,1.139074,-0.029751,0.251176,0.501876
-0.356086,-0.565746,-1.897168,18.325436,55.640312,115.879898,0.005356,-0.020501,-0.025115,0.999986,0.99979,0.999685,-3.073496,14.555923,1.379651,13.207845,20.01622,-8.262871,0.009446,0.059869,-0.159911,0.082253,0.342804,1.095841,-0.028985,0.229613,0.482442
-0.327209,-0.589021,-1.969267,18.1511,55.312336,115.505577,0.003775,-0.021278,-0.025525,0.999993,0.999774,0.999674,-2.798166,15.975288,1.681616,13.28998,21.42614,-8.249737,0.018277,0.053667,-0.1698,0.107355,0.357268,1.08076,-0.024009,0.221647,0.4701
-0.331433,-0.597871,-2.002661,18.099354,55.239586,115.423096,0.003469,-0.02176,-0.025902,0.999994,0.999763,0.999664,-2.636027,16.755478,1.884235,13.360615,22.286674,-8.234446,0.017419,0.052915,-0.171074,0.111034,0.357347,1.079154,-0.024254,0.218436,0.467507
-0.334975,-0.605262,-2.031777,18.086979,55.231068,115.413834,0.003231,-0.022229,-0.026265,0.999995,0.999753,0.999655,-2.53322,17.192657,2.00221,13.418296,22.829033,-8.207705,0.017061,0.052502,-0.171152,0.112813,0.356134,1.081659,-0.024138,0.217357,0.466745
-0.336939,-0.611393,-2.058232,18.082537,55.232193,115.415062,0.002986,-0.022677,-0.026616,0.999996,0.999743,0.999646,-2.465723,17.438507,2.07138,13.463734,23.172531,-8.177244,0.017033,0.052116,-0.171162,0.114271,0.354852,1.08406,-0.023886,0.216697,0.46635
-0.337949,-0.61748,-2.083772,18.076681,55.227139,115.408714,0.002729,-0.023097,-0.026955,0.999996,0.999733,0.999637,-2.420909,17.574402,2.116102,13.498687,23.387604,-8.147886,0.017149,0.051752,-0.17121,0.115623,0.353449,1.085573,-0.02359,0.216003,0.465874
-0.33853,-0.623998,-2.109026,18.068058,55.214428,115.393204,0.002478,-0.023484,-0.027282,0.999997,0.999724,0.999628,-2.391398,17.645554,2.151051,13.52494,23.518509,-8.121453,0.017339,0.051404,-0.171313,0.116896,0.351961,1.086248,-0.023294,0.215199,0.465272
-0.403842,-0.693726,-2.233608,18.382023,56.065437,116.36953,0.007716,-0.0225,-0.02771,0.99997,0.999747,0.999616,-2.590057,17.837326,1.205223,13.703221,23.986298,-8.007467,0.024763,0.045832,-0.153523,0.077749,0.363775,1.155518,-0.020694,0.248215,0.47113
-0.400239,-0.672291,-2.227921,18.518259,56.326061,116.670319,0.007568,-0.023389,-0.028184,0.999971,0.999726,0.999603,-2.669995,17.983276,0.540226,13.796369,24.398056,-7.832139,0.025642,0.047384,-0.15459,0.075528,0.367267,1.183097,-0.018462,0.258662,0.477168
-0.389864,-0.650522,-2.225227,18.560385,56.410469,116.768166,0.007172,-0.024138,-0.028669,0.999974,0.999709,0.999589,-2.7092,9.754951,0.095085,13.8525,16.36982,-7.65506,0.025449,0.048346,-0.15474,0.075869,0.365651,1.19365,-0.017085,0.261835,0.478641
-0.450694,-0.832826,-2.438484,18.389366,56.205784,116.558197,0.004717,-0.024753,-0.029076,0.999989,0.999694,0.999577,-2.197716,13.476257,-0.027636,14.094734,20.664452,-7.192849,0.035689,0.020199,-0.187845,0.132161,0.280449,1.204157,-0.024532,0.241564,0.467187
-0.370384,-0.788199,-2.438555,18.206816,55.779312,116.046967,0.005393,-0.024517,-0.0294,0.999985,0.999699,0.999568,-1.98483,14.7145,0.406154,14.188321,22.015678,-6.982618,0.041209,0.006245,-0.188411,0.147579,0.28544,1.178654,-0.018615,0.22738,0.452494
-0.374429,-0.785315,-2.451697,18.124929,55.655254,115.904976,0.005382,-0.024674,-0.029715,0.999986,0.999695,0.999558,-1.899116,15.420479,0.685302,14.249276,22.796745,-6.854681,0.040007,0.006132,-0.188524,0.15117,0.277927,1.169323,-0.019449,0.219426,0.448301
-0.387243,-0.800548,-2.484761,18.089638,55.604183,115.844734,0.00515,-0.024976,-0.030022,0.999987,0.999688,0.999549,-1.866558,15.841148,0.838692,14.290729,23.273232,-6.756715,0.039135,0.006148,-0.187413,0.15312,0.271383,1.165339,-0.020124,0.215344,0.446372
-0.398554,-0.816389,-2.518361,18.065674,55.566914,115.799507,0.004848,-0.025318,-0.030322,0.999988,0.999679,0.99954,-1.859489,16.097267,0.917291,14.320413,23.570305,-6.679727,0.038582,0.006,-0.18652,0.154501,0.266288,1.162298,-0.020566,0.212629,0.444979
-0.406164,-0.828852,-2.548134,18.041887,55.526001,115.749809,0.004532,-0.025661,-0.030613,0.99999,0.999671,0.999531,-1.866418,16.253944,0.955447,14.342454,23.754829,-6.619397,0.03819,0.005783,-0.185811,0.155579,0.262142,1.159118,-0.020776,0.21042,0.443536
-0.410493,-0.83792,-2.573956,18.015753,55.478283,115.692215,0.004227,-0.025988,-0.030895,0.999991,0.999662,0.999523,-1.882122,16.348412,0.97395,14.359232,23.865768,-6.572001,0.0379,0.005529,-0.185223,0.156459,0.258622,1.155591,-0.020812,0.208425,0.441933
-0.412408,-0.844495,-2.596757,17.987309,55.424698,115.627876,0.003942,-0.026296,-0.031169,0.999992,0.999654,0.999514,-1.903701,16.402885,0.984442,14.372137,23.92733,-6.534764,0.037679,0.005252,-0.184722,0.157198,0.255574,1.151767,-0.020729,0.206544,0.44019
-0.41267,-0.849604,-2.61774,17.95676,55.366234,115.557999,0.003669,-0.026587,-0.031433,0.999993,0.999647,0.999506,-1.928986,16.431252,0.992849,14.382129,23.954887,-6.506577,0.03751,0.004968,-0.184301,0.157834,0.252919,1.14767,-0.020569,0.204744,0.438329
-0.412003,-0.853984,-2.637619,17.924932,55.304771,115.484772,0.003413,-0.026861,-0.031687,0.999994,0.999639,0.999498,-1.956766,8.108948,1.002363,14.389775,15.625702,-6.485882,0.03738,0.004675,-0.183955,0.158383,0.250603,1.143414,-0.020372,0.203026,0.436402
-0.499421,-1.169424,-3.002872,17.643597,54.846474,114.998894,0.000718,-0.026148,-0.031912,1.0,0.999658,0.999491,-1.883213,11.869438,0.941712,14.379338,19.194534,-5.900688,0.030485,0.021519,-0.160371,0.14969,0.122367,1.152036,-0.021665,0.175746,0.421428
-0.256221,-0.921368,-2.801721,17.306673,54.177624,114.183006,0.005414,-0.02409,-0.032146,0.999985,0.99971,0.999483,-2.277849,13.110565,1.446206,14.436662,20.026764,-5.377012,0.024186,-0.024126,-0.105034,0.117153,0.089746,1.112295,-0.009843,0.158182,0.394642
-0.213953,-0.83537,-2.724112,17.087561,53.759045,113.696167,0.00599,-0.023835,-0.032417,0.999982,0.999716,0.999474,-2.687735,13.718323,1.988907,14.361196,20.362419,-5.043983,0.023133,-0.024358,-0.1035,0.120912,0.077436,1.078826,-0.008554,0.144432,0.382034
-0.220225,-0.844208,-2.755362,16.933859,53.459915,113.347328,0.006099,-0.02383,-0.032708,0.999981,0.999716,0.999465,-3.06606,14.009933,2.524846,14.216006,20.453514,-4.866975,0.02221,-0.024715,-0.101532,0.123515,0.073184,1.053258,-0.009309,0.135515,0.373059
-0.2459,-0.897693,-2.838834,16.807772,53.20768,113.05217,0.006049,-0.023915,-0.03301,0.999982,0.999714,0.999455,-3.411898,14.134033,3.055421,14.035839,20.414391,-4.813733,0.021599,-0.025142,-0.099556,0.124705,0.072746,1.031011,-0.010739,0.128875,0.36581
-0.281378,-0.975906,-2.95062,16.694145,52.977966,112.783691,0.0059,-0.024045,-0.033317,0.999983,0.999711,0.999445,-3.725258,14.166641,3.584228,13.837738,20.30394,-4.851435,0.021093,-0.025438,-0.097457,0.124951,0.074307,1.010488,-0.012429,0.123451,0.359417
-0.323445,-1.071201,-3.081463,16.587046,52.761162,112.531075,0.005673,-0.024199,-0.033626,0.999984,0.999707,0.999435,-4.00743,14.148872,4.111757,13.630608,20.154236,-4.95328,0.020614,-0.025519,-0.095197,0.124427,0.076927,0.990974,-0.014267,0.118762,0.353539
-0.369732,-1.178237,-3.22524,16.485283,52.555077,112.291611,0.005379,-0.02437,-0.033932,0.999985,0.999703,0.999424,-4.261469,14.103233,4.63552,13.418923,19.98391,-5.099972,0.020128,-0.025333,-0.092784,0.123185,0.080175,0.972231,-0.016163,0.114543,0.348083
-0.418103,-1.292809,-3.377006,16.388605,52.360382,112.0662,0.00503,-0.024553,-0.034235,0.999987,0.999699,0.999414,-4.48968,14.042282,5.149426,13.206612,19.804123,-5.276132,0.019652,-0.024871,-0.09032,0.121271,0.083631,0.954119,-0.018046,0.110703,0.343012
-0.46704,-1.411619,-3.532702,16.297066,52.177124,111.854797,0.004645,-0.024731,-0.03453,0.999989,0.999694,0.999404,-4.692308,5.63932,5.64581,12.998652,11.28875,-5.467627,0.019211,-0.024106,-0.087952,0.118732,0.086808,0.93653,-0.019866,0.107289,0.338353
-0.739531,-1.867729,-3.973069,15.954087,51.686234,111.371002,-0.011329,-0.032569,-0.034668,0.999936,0.999469,0.999399,-5.206784,9.330086,5.289399,12.107285,14.890671,-4.301811,0.025163,0.021605,-0.082972,0.002788,0.042148,0.921469,-0.027077,0.08978,0.308385
-0.925886,-2.370467,-4.580007,15.587822,50.967892,110.542877,-0.01546,-0.033359,-0.034679,0.99988,0.999443,0.999398,-5.786654,10.684776,5.732448,11.366681,16.062904,-3.718665,0.023575,0.019113,-0.08095,-0.024087,0.033436,0.802501,-0.032854,0.088252,0.287811
-1.068318,-2.664814,-4.924653,15.36928,50.510963,110.008675,-0.016588,-0.033467,-0.034688,0.999862,0.99944,0.999398,-6.256033,11.288231,6.213694,10.806547,16.516975,-3.340708,0.022788,0.022767,-0.082858,-0.041935,0.030353,0.765075,-0.039487,0.082669,0.275164
-1.167433,-2.862596,-5.153165,15.225981,50.212318,109.660065,-0.017129,-0.033498,-0.034706,0.999853,0.999439,0.999398,-6.618959,11.540337,6.644766,10.383214,16.653557,-3.091482,0.021592,0.026186,-0.084097,-0.05275,0.026221,0.743713,-0.044029,0.078809,0.266721
-1.235057,-2.999073,-5.311122,15.113801,49.983471,109.393532,-0.0175,-0.033527,-0.034731,0.999847,0.999438,0.999397,-6.895973,11.628319,7.009858,10.066268,16.64991,-2.931006,0.020499,0.028827,-0.084988,-0.058916,0.022508,0.727462,-0.047108,0.07579,0.260216
-1.28049,-3.093432,-5.421152,15.017223,49.79113,109.170235,-0.017802,-0.033561,-0.034761,0.999842,0.999437,0.999396,-7.107687,11.642159,7.313282,9.830899,16.588737,-2.831805,0.019598,0.030756,-0.085635,-0.062185,0.019426,0.71338,-0.049136,0.073307,0.254775
-1.309915,-3.157164,-5.496323,14.931269,49.623238,108.975945,-0.018058,-0.033597,-0.034792,0.999837,0.999435,0.999395,-7.2706,11.625145,7.564403,9.657446,16.509026,-2.773645,0.018894,0.032134,-0.086077,-0.063586,0.016954,0.700703,-0.050403,0.071237,0.250078
-1.327957,-3.19842,-5.545723,14.854874,49.476463,108.806557,-0.018281,-0.033633,-0.034822,0.999833,0.999434,0.999394,-7.396871,11.59774,7.772585,9.530024,16.428375,-2.74223,0.018376,0.033069,-0.086381,-0.063782,0.015046,0.689278,-0.051153,0.069486,0.246012
-1.33827,-3.224113,-5.577187,14.787751,49.349388,108.660301,-0.018485,-0.03367,-0.03485,0.999829,0.999433,0.999393,-7.495165,11.569176,7.945241,9.436409,16.354027,-2.728076,0.01801,0.033683,-0.086599,-0.063237,0.013625,0.67907,-0.051551,0.068003,0.242511
-1.343363,-3.238966,-5.596071,14.729459,49.240341,108.535065,-0.018669,-0.033705,-0.034876,0.999826,0.999432,0.999392,-7.572039,11.543282,8.088377,9.36763,16.288612,-2.72468,0.01776,0.034078,-0.086753,-0.062255,0.012572,0.670075,-0.051713,0.066751,0.239511
